Designator,Mid X,Mid Y,Rotation,Layer
C90,143.25,-89.625,180.0,bottom
C91,146.25,-88.9,180.0,bottom
C92,139.9,-92.1,180.0,bottom
C93,136.845,-63.4,180.0,bottom
C94,133.54,-68.99,270.0,bottom
C95,135.07,-71.91,180.0,bottom
C96,143.225,-73.25,0.0,bottom
C97,143.25,-68.075,180.0,bottom
C98,133.6,-72.85,270.0,bottom
C99,134.575,-65.85,90.0,bottom
D1,148.8125,-132.55,0.0,top
D2,134.9,-61.31,180.0,top
D3,144.5,-119.75,270.0,bottom
D4,151.7875,-132.55,180.0,top
D5,134.2375,-118.5,0.0,top
D6,134.2375,-119.99,0.0,top
D7,134.2375,-121.45,0.0,top
FB1,146.65,-105.35,90.0,bottom
J1,143.75,-98.875,0.0,top
J2,151.191075,-67.015,0.0,bottom
J4,150.82,-67.015,90.0,top
J5,136.05,-114.07,180.0,top
J7,152.24,-114.48,90.0,top
L1,143.35,-120.125,0.0,top
L2,138.03,-120.13,180.0,top
L3,138.03,-130.95,180.0,top
L4,143.43,-130.995,0.0,top
L5,151.85,-128.8,180.0,top
L6,135.2,-80.8,270.0,bottom
R1,150.4,-105.3,270.0,bottom
R10,144.7,-124.3,180.0,top
R11,136.595,-126.895,0.0,top
R12,136.44,-125.85,0.0,top
R13,145.15,-125.7,270.0,top
R14,141.2,-94.51,270.0,bottom
R16,148.5,-73.7,90.0,bottom
R17,144.925,-83.175,180.0,bottom
R18,144.925,-84.2,180.0,bottom
R19,140.05,-73.25,270.0,bottom
R2,143.8,-91.45,180.0,bottom
R20,138.63,-73.43,90.0,top
R21,138.63,-75.3,270.0,top
R23,148.3,-82.625,270.0,bottom
R24,146.86,-127.65,180.0,bottom
R25,142.75,-134.8,0.0,bottom
R26,142.75,-135.75,0.0,bottom
R27,138.15,-91.75,0.0,bottom
R28,152.45,-83.35,180.0,top
R29,144.43,-64.35,270.0,bottom
R3,148.6,-95.0,270.0,bottom
R30,145.0,-76.95,90.0,bottom
R31,147.03,-77.79,270.0,bottom
R32,143.25,-64.36,270.0,bottom
R33,138.95,-134.7,90.0,top
R34,136.3,-129.8,90.0,bottom
R35,137.5,-131.475,0.0,bottom
R36,142.1,-64.375,270.0,bottom
R37,139.075,-62.6,180.0,bottom
R38,144.5,-66.25,90.0,bottom
R39,143.55,-66.22,90.0,bottom
R4,136.635,-122.85,0.0,top
R40,142.61,-66.24,90.0,bottom
R41,141.0,-64.39,90.0,bottom
R42,148.68,-77.9,270.0,bottom
R43,134.75,-89.95,0.0,bottom
R44,139.0,-100.64,270.0,bottom
R45,138.75,-96.75,90.0,bottom
R46,137.45,-99.31,90.0,bottom
R47,142.1,-115.5,0.0,top
R48,145.06,-70.22,270.0,top
R49,144.78,-65.77,270.0,top
R5,136.29,-124.895,0.0,top
R50,136.95,-95.8,270.0,bottom
R51,134.8,-69.74,270.0,bottom
R52,137.55,-71.83,180.0,bottom
R53,139.475,-71.85,180.0,bottom
R54,140.975,-71.175,270.0,bottom
R55,143.95,-68.8,180.0,top
R56,143.91,-64.33,180.0,top
R57,141.0,-114.2,0.0,top
R58,154.225,-121.675,90.0,top
R59,152.3,-122.35,90.0,top
R6,144.225,-128.05,0.0,bottom
R60,153.25,-122.35,90.0,top
R61,148.7,-122.0,90.0,top
R62,150.1,-121.875,180.0,top
R63,144.62,-102.07,180.0,bottom
R65,138.35,-77.1,270.0,bottom
R7,144.7,-127.1,0.0,top
R75,134.14,-84.53,0.0,top
R76,137.15,-61.3,90.0,top
R77,153.25,-134.21,270.0,top
R78,137.64,-117.5,180.0,bottom
R79,137.75,-115.94,270.0,bottom
R8,136.19,-127.2,0.0,bottom
R80,138.7,-115.94,270.0,bottom
R9,136.79,-128.2,180.0,top
U1,143.75,-97.5,180.0,top
U10,137.85,-67.38,270.0,top
U11,147.1,-77.85,90.0,top
U12,151.475,-120.125,180.0,top
U14,144.8275,-115.68,180.0,top
U15,144.8325,-112.6825,0.0,top
U16,144.75,-115.65,0.0,bottom
U17,135.47,-76.34,90.0,bottom
U2,140.63,-125.5,0.0,top
U3,144.705,-67.5,270.0,top
U4,146.4,-65.6,270.0,bottom
U5,136.825,-134.05,180.0,bottom
U6,146.4,-67.25,270.0,bottom
U7,135.415,-76.11,270.0,top
U8,151.15,-125.2125,270.0,top
U9,137.97,-67.65,0.0,bottom
Y2,143.275,-70.65,270.0,bottom
Y3,135.75,-81.9,180.0,top
